"Diagnosis outputs (Group: Pulmonary TB: HIV-negative, Children aged < 15 years; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"        Number with presumed or confirmed TB infection, Drug-resistant strains","1698.945134","1746.675911","1789.23533","1824.365572","1845.819994","1849.583044","1824.488313","1771.617856","1689.355178","1729.399556","1813.249643","1876.10789","1994.702064","2060.356571","2135.871946","2220.499592"
"    Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"        Number with presumed or confirmed TB infection, Drug-susceptible strains","200841.014001","207006.604225","212522.496923","216981.960803","220156.534712","220075.742505","217285.046054","212163.358848","202882.603875","208021.389591","218340.326068","226186.711423","235967.29584","243978.56288","253122.186443","263326.852776"
"        Number with presumed or confirmed TB infection, Drug-resistant strains","4492.928322","4630.8561","4754.249774","4854.010531","4925.027564","4923.220196","4860.790721","4746.21565","4538.599854","4653.557429","4884.397938","5059.926065","5278.723331","5457.939956","5662.488043","5890.772264"
"    All ages","","","","","","","","","","","","","","","",""
"        Number with presumed or confirmed TB infection, Drug-susceptible strains","276786.553101","285085.78468","292504.15081","298533.992165","302667.612717","302755.034815","298842.564124","291357.483723","278399.456746","285328.28958","299395.457792","310051.706386","325133.638261","336079.765788","348599.046216","362586.702405"
"        Number with presumed or confirmed TB infection, Drug-resistant strains","6191.873456","6377.532012","6543.485104","6678.376103","6770.847558","6772.80324","6685.279034","6517.833506","6227.955033","6382.956985","6697.647581","6936.033956","7273.425395","7518.296527","7798.359989","8111.271855"



"HIV and TB co-infection "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"HIV and TB co-infection","","","","","","","","","","","","","","","",""
"    Neonates aged 0 to 28 days","","","","","","","","","","","","","","","",""
"        Number of CLHIV with TB","36.352023","37.400812","38.575478","39.848603","41.74104","44.272826","46.675353","48.502028","50.181649","51.799119","53.7177","55.574165","57.401136","59.41597","61.439542","63.600788"
"    Children aged 0 to 14 years","","","","","","","","","","","","","","","",""
"        Number of CLHIV with TB","563.456361","579.712579","597.91991","617.653346","646.986121","686.228804","723.467977","751.78144","777.815561","802.886341","832.624343","861.399562","889.717606","920.947531","952.312903","985.812216"
"    Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"        Number of PLHIV with TB","6507.012165","6694.745266","6905.01057","7132.899928","7471.646176","7924.83586","8354.888254","8681.863084","8982.515192","9272.042256","9615.468218","9947.775587","10274.80332","10635.458584","10997.678046","11384.541077"
"    All ages","","","","","","","","","","","","","","","",""
"        Number of PLHIV with TB","7070.468526","7274.457845","7502.930479","7750.553274","8118.632298","8611.064664","9078.356231","9433.644524","9760.330753","10074.928596","10448.092561","10809.175149","11164.520925","11556.406115","11949.99095","12370.353293"



"TB vaccination "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"TB infection prevention","","","","","","","","","","","","","","","",""
"    Children under 12 months","","","","","","","","","","","","","","","",""
"        Number receiving BCG (immunization)","0","208431.811656","235466.057429","235921.287533","232370.736319","230027.760956","347356.938002","277682.997226","269020.283412","191341.10225","228001.726386","218917.260028","210022.616631","196946.437674","225923.250599","232017.338386"
